District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
Bagalakote,37,14083,6,13770,177,0,136,0
Ballari,87,40395,49,39168,625,1,602,0
Belagavi,76,27910,19,27032,531,2,347,0
Bengaluru Rural,71,20234,40,19249,816,1,169,0
Bengaluru Urban,5576,470014,1968,422719,42525,29,4769,1
Bidar,186,10676,224,8945,1538,1,189,4
Chamarajanagara,35,7306,11,6975,200,0,120,11
Chikkaballapura,119,14290,14,13947,223,1,119,1
Chikkamagaluru,29,14570,4,14089,340,0,141,0
Chitradurga,42,15381,34,15187,124,1,70,0
Dakshina Kannada,115,36515,54,34903,869,0,741,2
Davanagere,29,22828,12,22361,203,0,264,0
Dharwada,86,23605,57,22408,562,1,635,0
Gadag,16,11316,14,11077,98,0,141,0
Hassana,153,30338,55,29006,924,0,408,0
Haveri,13,11124,1,10862,71,0,191,0
Kalaburagi,211,25637,80,23511,1766,2,360,0
Kodagu,19,6493,15,6302,118,0,73,0
Kolara,84,11004,57,10515,307,0,182,0
Koppala,39,14261,20,13776,205,0,280,0
Mandya,104,20813,50,20152,498,1,163,0
Mysuru,283,57668,172,54911,1682,5,1075,0
Raichuru,30,14713,12,14293,262,0,158,0
Ramanagara,65,7672,1,7430,165,0,77,0
Shivamogga,33,23138,32,22413,375,0,350,0
Tumakuru,145,28326,60,26407,1514,0,405,0
Udupi,46,25829,57,25257,380,0,192,0
Uttara Kannada,67,15499,78,14877,441,1,181,0
Vijayapura,127,15419,16,14851,358,0,210,0
Yadagiri,32,10992,8,10743,187,0,62,0
Others*,0,36,0,33,0,0,3,0
