District,Administrative_Divisions,Area_(sq.km),Population,Population_density,Rural_Population,Urban_Population,Rural_Percentage,Urban_Percentage,Literacy_rate
Bagalakote,Belgaum,6575.0,1889752.0,287.415,1291906.0,597846.0,0.68,0.32,68.82
Ballari (Bellary),Kalaburagi,8450.0,2452595.0,290.248,1532356.0,920239.0,0.62,0.38,67.43
Belagavi,Belgaum,13415.0,4779661.0,84.149,3568466.0,1211195.0,0.75,0.25,73.48
Bengaluru Rural,Bangalore,2259.0,990923.0,438.656,722179.0,268744.0,0.73,0.27,77.93
Bengaluru Urban,Bangalore,2190.0,9621551.0,1275.797,871607.0,8749944.0,0.09,0.91,87.67
Bidar,Kalaburagi,5448.0,1703300.0,312.647,1277348.0,425952.0,0.75,0.25,70.51
Chamarajanagara,Mysuru,5101.0,1020791.0,200.11599999999999,845817.0,174974.0,0.83,0.17,61.43
Chikkaballapura,Bangalore,4524.0,1255104.0,277.432,973985.0,281119.0,0.78,0.22,69.76
Chikkamagaluru,Mysuru,7201.0,1137961.0,158.028,898453.0,239508.0,0.79,0.21,79.25
Chitradurga,Bangalore,8440.0,1659456.0,196.618,1329923.0,329533.0,0.8,0.2,73.71
Dakshina Kannada,Mysuru,4560.0,2089649.0,458.256,1093563.0,996086.0,0.52,0.48,88.57
Davanagere,Bangalore,5924.0,1945497.0,328.409,1316487.0,629010.0,0.68,0.32,75.74
Dharawada,Belgaum,4260.0,1847023.0,433.57300000000004,797484.0,1049539.0,0.43,0.57,80.0
Gadaga,Belgaum,4656.0,1064570.0,228.645,685261.0,379309.0,0.64,0.36,75.12
Hassana,Mysuru,6814.0,1776421.0,260.702,1399658.0,376763.0,0.79,0.21,76.07
Haveri,Belgaum,4823.0,1597668.0,331.26,1242167.0,355501.0,0.78,0.22,77.4
Kalaburagi,Kalaburagi,10951.0,2566326.0,234.34599999999998,1730775.0,835551.0,0.67,0.33,64.85
Kodagu,Mysuru,4102.0,554519.0,135.183,473531.0,80988.0,0.85,0.15,82.61
Kolara,Bangalore,4102.0,1536401.0,374.54900000000004,1056328.0,480073.0,0.69,0.31,74.39
Koppala,Kalaburagi,5565.0,1389920.0,249.761,1156216.0,233704.0,0.83,0.17,68.09
Mandya,Mysuru,3969.0,1805769.0,454.968,1497407.0,308362.0,0.83,0.17,70.4
Mysuru,Mysuru,6854.0,3001127.0,437.865,1755714.0,1245413.0,0.59,0.41,72.79
Raichuru,Kalaburagi,6827.0,1928812.0,282.527,1438464.0,490348.0,0.75,0.25,59.56
Ramanagara,Bangalore,3556.0,1082636.0,304.453,814877.0,267759.0,0.75,0.25,69.22
Shivamogga,Bangalore,8477.0,1752753.0,206.766,1129026.0,623727.0,0.64,0.36,80.45
Tumakuru,Bangalore,10597.0,2678980.0,252.80599999999998,2079902.0,599078.0,0.78,0.22,75.14
Udupi,Mysuru,3880.0,1177361.0,303.444,843300.0,334061.0,0.72,0.28,86.24
Uttara Kannada,Belgaum,10291.0,1437169.0,130.332,1018188.0,418981.0,0.71,0.29,84.06
Vijayapura,Belgaum,10494.0,2177331.0,207.483,1675353.0,501978.0,0.77,0.23,67.15
Yadagiri,Kalaburagi,5273.0,1174271.0,222.695,953594.0,220677.0,0.81,0.19,51.83
